tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
4723,Delta,False,Tue Oct 10 09:10:00 +0000 2017,We're truly sorry about your experience — this isn't the standard we aim for. Please DM us the details so the right team can follow up. ^DS,,4722
4529,Delta,False,Mon Oct 09 21:51:00 +0000 2017,We're sorry about your damaged bag. Please DM us your confirmation number and we'll open a claim and help you further. ^DS,,4528
3866,user_20807,True,Sun Oct 08 07:11:00 +0000 2017,"@Delta where is my refund?? cancelled 2 days ago, still nothing. conf GKR777",3867,
1777,Delta,False,Tue Oct 03 05:19:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,1776
3773,Delta,False,Sun Oct 08 01:45:00 +0000 2017,So sorry to hear your bag didn't arrive. Please DM your file reference or confirmation number and we'll track it down. ^TL,,3772
2769,Delta,False,Thu Oct 05 15:11:00 +0000 2017,We understand billing issues are stressful. Please DM us your confirmation number and the charge details so we can review it. ^TL,,2768
3997,Delta,False,Sun Oct 08 14:49:00 +0000 2017,Happy to point you in the right direction — the details are on delta.com. Let us know if you have questions! ^DS,,3996
1322,user_42729,True,Mon Oct 02 02:47:00 +0000 2017,why is @Delta flight DL1790 delayed AGAIN. i've been waiting 3 hours,1323,
2295,Delta,False,Wed Oct 04 11:32:00 +0000 2017,So sorry to hear your bag didn't arrive. Please DM your file reference or confirmation number and we'll track it down. ^TL,,2294
5062,user_99379,True,Sun Oct 01 08:00:00 +0000 2017,@united lost my bag as well ugh,,
4454,user_96652,True,Mon Oct 09 17:29:00 +0000 2017,"@Delta kioska t New York isn't printing my boarding pass, line is huge",4455,
3998,user_21134,True,Sun Oct 08 14:53:00 +0000 2017,"@Delta my travel credit disappeared from my account, i had $350",3999,
2220,user_92585,True,Wed Oct 04 07:10:00 +0000 2017,@Delta your crew on DL2322 were dismissive and unprofessional. never flying again,2221,
2894,user_67376,True,Thu Oct 05 22:29:00 +0000 2017,just want to say @Delta made my Detroit trip smooth and easy. appreciaet you,2895,
1650,user_91823,True,Mon Oct 02 21:55:00 +0000 2017,hey @Delta my suitcase came off the belt in ATL completely damgaed 😞,1651,
3135,Delta,False,Fri Oct 06 12:32:00 +0000 2017,So sorry to hear your bag didn't arrive. Please DM your file reference or confirmation number and we'll track it down. ^TL,,3134
3737,Delta,False,Sat Oct 07 23:39:00 +0000 2017,Sorry for the trouble with your refund. DM us your confirmation number and we'll check its status for you. ^DS,,3736
4329,Delta,False,Mon Oct 09 10:11:00 +0000 2017,So sorry to hear your bag didn't arrive. Please DM your file reference or confirmation number and we'll track it down. ^TL,,4328
1968,user_59473,True,Tue Oct 03 16:28:00 +0000 2017,@Delta weve been sitting on the tarmac at MSP for 1 hours whats going on,1969,
3225,Delta,False,Fri Oct 06 17:47:00 +0000 2017,"Great question! You can find the full policy details on delta.com, and we're happy to help if anything's unclear. ^TL",,3224
1405,Delta,False,Mon Oct 02 07:37:00 +0000 2017,Thanks for being a SkyMiles member. Please DM us your SkyMiles number and the flight details and we'll check on those miles. ^RM,,1404
2027,Delta,False,Tue Oct 03 19:54:00 +0000 2017,Apologies for the delay to your travel plans. Send us a DM with your confirmation # and we'll check the next available flights. ^JK,,2026
2256,user_69136,True,Wed Oct 04 09:16:00 +0000 2017,"@Delta got double billed $120 on my card for seat selection, fix this",2257,
1547,Delta,False,Mon Oct 02 15:54:00 +0000 2017,Apologies for the delay to your travel plans. Send us a DM with your confirmation # and we'll check the next available flights. ^JK,,1546
1319,Delta,False,Mon Oct 02 02:36:00 +0000 2017,We can review your options. Please DM your confirmation number and we'll check change/cancel fees for your fare. ^RM,,1318
4354,user_26830,True,Mon Oct 09 11:39:00 +0000 2017,@Delta how do i change the name spelling on my ticket to ATL,4355,
4534,user_93553,True,Mon Oct 09 22:09:00 +0000 2017,@Delta my ORD flight is showing delayed but the board says on time?? which is it,4535,
3286,user_78542,True,Fri Oct 06 21:21:00 +0000 2017,@Delta your crew on DL3210 were dismissive and unprofessional. never flying again,3287,
1846,user_43160,True,Tue Oct 03 09:21:00 +0000 2017,"@Delta my skymiles number QQ1029 shows the wrong status, i'm platinum",1847,
3209,Delta,False,Fri Oct 06 16:51:00 +0000 2017,Let's get you boarded. Please DM your confirmation number and we'll pull up your boarding pass. ^JK,,3208
1134,user_52354,True,Sun Oct 01 15:49:00 +0000 2017,@Delta how many miles do i need for an award flight to Atlanta?,1135,
1119,Delta,False,Sun Oct 01 14:56:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,1118
1296,user_17411,True,Mon Oct 02 01:16:00 +0000 2017,"@Delta ruined my LAX trip, disorganized and rude staff everywhere",1297,
2330,user_96490,True,Wed Oct 04 13:35:00 +0000 2017,@Delta can I cancel my reservation and get a credit? confirmation XZ9921,2331,
2432,user_31585,True,Wed Oct 04 19:32:00 +0000 2017,@Delta you lost my luggage on flight DL4627. this is unacceptable,2433,
2315,Delta,False,Wed Oct 04 12:42:00 +0000 2017,We're sorry about your damaged bag. Please DM us your confirmation number and we'll open a claim and help you further. ^DS,,2314
